Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
699	0.0067	0.0063	1.0660	Typhaang_comp48331_c0_seq2	Typhaang_comp48331_c0_seq3
700	0.1430	0.4813	0.2971	Typhaang_comp48334_c0_seq1	Typhaang_comp48334_c0_seq3
701	0.0000	0.0000	0.4019	Typhaang_comp48337_c0_seq1	Typhaang_comp48337_c0_seq2
702	0.0177	0.3251	0.0544	Typhaang_comp48352_c2_seq1	Typhaang_comp48352_c2_seq2
703	0.0086	0.0079	1.0864	Typhaang_comp48360_c0_seq1	Typhaang_comp48360_c0_seq2
704	0.0111	0.0139	0.7991	Typhaang_comp48360_c0_seq1	Typhaang_comp48360_c0_seq4
705	0.0111	0.0139	0.7991	Typhaang_comp48360_c0_seq2	Typhaang_comp48360_c0_seq3
706	0.0079	0.0067	1.1821	Typhaang_comp48360_c0_seq3	Typhaang_comp48360_c0_seq4
707	0.0198	0.1369	0.1449	Typhaang_comp48362_c0_seq2	Typhaang_comp48362_c0_seq4
708	0.0165	0.7008	0.0235	Typhaang_comp48362_c0_seq5	Typhaang_comp48362_c0_seq7
709	0.0043	0.0043	0.9971	Typhaang_comp48366_c1_seq1	Typhaang_comp48366_c1_seq2
710	0.0921	0.7377	0.1249	Typhaang_comp48367_c0_seq1	Typhaang_comp48367_c0_seq2
711	0.0000	0.0000	0.4017	Typhaang_comp48371_c1_seq1	Typhaang_comp48371_c1_seq2
712	0.1026	0.6882	0.1490	Typhaang_comp48377_c0_seq1	Typhaang_comp48377_c0_seq2
713	0.0675	0.7165	0.0942	Typhaang_comp48393_c0_seq1	Typhaang_comp48393_c0_seq2
714	0.0000	0.0000	0.4018	Typhaang_comp48400_c0_seq10	Typhaang_comp48400_c0_seq11
715	0.0000	0.0000	0.4018	Typhaang_comp48400_c0_seq11	Typhaang_comp48400_c0_seq12
716	0.0978	0.5693	0.1718	Typhaang_comp48408_c0_seq1	Typhaang_comp48408_c0_seq4
717	0.0933	0.5679	0.1643	Typhaang_comp48408_c0_seq2	Typhaang_comp48408_c0_seq4
718	0.0984	0.7158	0.1375	Typhaang_comp48413_c0_seq1	Typhaang_comp48413_c0_seq2
719	0.0035	0.0065	0.5456	Typhaang_comp48419_c0_seq1	Typhaang_comp48419_c0_seq3
720	0.0035	0.0065	0.5456	Typhaang_comp48419_c0_seq2	Typhaang_comp48419_c0_seq3
721	0.0798	0.4819	0.1655	Typhaang_comp48422_c0_seq1	Typhaang_comp48422_c0_seq2
722	0.0000	0.0000	0.4018	Typhaang_comp48427_c2_seq1	Typhaang_comp48427_c2_seq2
723	0.0318	0.6704	0.0475	Typhaang_comp48441_c1_seq1	Typhaang_comp48441_c1_seq2
724	0.0318	0.6704	0.0475	Typhaang_comp48441_c1_seq2	Typhaang_comp48441_c1_seq3
725	0.0000	0.0056	0.0010	Typhaang_comp48457_c0_seq1	Typhaang_comp48457_c0_seq2
726	0.0724	1.4973	0.0484	Typhaang_comp48461_c2_seq1	Typhaang_comp48461_c2_seq2
727	0.0000	0.0000	0.3579	Typhaang_comp48473_c0_seq1	Typhaang_comp48473_c0_seq4
728	0.0000	0.0000	0.3579	Typhaang_comp48473_c0_seq1	Typhaang_comp48473_c0_seq2
729	0.0000	0.0000	0.3579	Typhaang_comp48473_c0_seq2	Typhaang_comp48473_c0_seq3
730	0.0000	0.0000	0.3579	Typhaang_comp48473_c0_seq3	Typhaang_comp48473_c0_seq4
731	0.0685	0.1235	0.5545	Typhaang_comp48476_c0_seq1	Typhaang_comp48476_c0_seq2
732	0.0169	0.2993	0.0565	Typhaang_comp48477_c0_seq1	Typhaang_comp48477_c0_seq2
733	0.0482	0.3072	0.1569	Typhaang_comp48490_c2_seq1	Typhaang_comp48490_c2_seq2
734	0.0000	0.0000	0.4019	Typhaang_comp48492_c0_seq1	Typhaang_comp48492_c0_seq2
735	0.0185	0.9501	0.0195	Typhaang_comp48510_c0_seq1	Typhaang_comp48510_c0_seq3
736	0.2328	0.7226	0.3221	Typhaang_comp48520_c0_seq2	Typhaang_comp48520_c0_seq1
737	0.2015	0.5889	0.3422	Typhaang_comp48520_c0_seq3	Typhaang_comp48520_c0_seq1
738	0.0022	0.0016	1.3501	Typhaang_comp48526_c0_seq1	Typhaang_comp48526_c0_seq2
739	0.1430	0.5691	0.2512	Typhaang_comp48528_c0_seq2	Typhaang_comp48528_c0_seq3
740	0.0042	0.0033	1.2942	Typhaang_comp48539_c1_seq1	Typhaang_comp48539_c1_seq4
741	0.0042	0.0033	1.2942	Typhaang_comp48539_c1_seq3	Typhaang_comp48539_c1_seq4
742	0.0000	0.0114	0.0010	Typhaang_comp48554_c0_seq2	Typhaang_comp48554_c0_seq4
743	0.0000	0.0114	0.0010	Typhaang_comp48554_c0_seq2	Typhaang_comp48554_c0_seq3
744	0.1105	0.7020	0.1574	Typhaang_comp48557_c0_seq1	Typhaang_comp48557_c0_seq2
745	0.0000	0.0000	0.4040	Typhaang_comp48564_c0_seq1	Typhaang_comp48564_c0_seq2
746	0.0157	0.2049	0.0769	Typhaang_comp48565_c0_seq1	Typhaang_comp48565_c0_seq2
747	0.0327	0.9564	0.0341	Typhaang_comp48565_c0_seq1	Typhaang_comp48565_c0_seq4
748	0.0327	0.9564	0.0341	Typhaang_comp48565_c0_seq2	Typhaang_comp48565_c0_seq4
749	0.0135	0.0144	0.9396	Typhaang_comp48567_c0_seq1	Typhaang_comp48567_c0_seq2
750	0.0320	0.0423	0.7565	Typhaang_comp48568_c0_seq2	Typhaang_comp48568_c0_seq3
751	0.0693	0.0825	0.8399	Typhaang_comp48568_c0_seq2	Typhaang_comp48568_c0_seq6
752	0.0783	0.1140	0.6866	Typhaang_comp48568_c0_seq3	Typhaang_comp48568_c0_seq5
753	0.0783	0.1140	0.6866	Typhaang_comp48568_c0_seq3	Typhaang_comp48568_c0_seq4
754	0.0693	0.0825	0.8399	Typhaang_comp48568_c0_seq4	Typhaang_comp48568_c0_seq6
755	0.0693	0.0825	0.8399	Typhaang_comp48568_c0_seq5	Typhaang_comp48568_c0_seq6
756	0.0000	0.0000	0.4027	Typhaang_comp48577_c0_seq1	Typhaang_comp48577_c0_seq2
757	0.0000	0.0091	0.0010	Typhaang_comp48577_c0_seq1	Typhaang_comp48577_c0_seq4
758	0.0000	0.0091	0.0010	Typhaang_comp48577_c0_seq2	Typhaang_comp48577_c0_seq4
759	0.0066	0.0184	0.3589	Typhaang_comp48578_c1_seq1	Typhaang_comp48578_c1_seq2
760	0.0543	0.1659	0.3270	Typhaang_comp48579_c0_seq1	Typhaang_comp48579_c0_seq3
761	0.0758	0.6286	0.1206	Typhaang_comp48579_c0_seq1	Typhaang_comp48579_c0_seq2
762	0.0000	0.0000	0.4020	Typhaang_comp48581_c4_seq1	Typhaang_comp48581_c4_seq2
763	0.0949	0.6729	0.1410	Typhaang_comp48589_c0_seq1	Typhaang_comp48589_c0_seq3
764	0.0456	0.6021	0.0758	Typhaang_comp48589_c0_seq2	Typhaang_comp48589_c0_seq3
765	0.0721	1.0775	0.0669	Typhaang_comp48589_c1_seq1	Typhaang_comp48589_c1_seq3
766	0.0000	0.0000	0.4019	Typhaang_comp48612_c0_seq1	Typhaang_comp48612_c0_seq3
767	0.0000	0.0000	0.4019	Typhaang_comp48612_c0_seq2	Typhaang_comp48612_c0_seq3
768	0.0000	0.0000	0.4019	Typhaang_comp48623_c2_seq1	Typhaang_comp48623_c2_seq2
769	0.0220	0.6626	0.0332	Typhaang_comp48624_c0_seq1	Typhaang_comp48624_c0_seq2
770	0.0000	0.0081	0.0010	Typhaang_comp48628_c0_seq1	Typhaang_comp48628_c0_seq2
771	0.0039	0.0179	0.2161	Typhaang_comp48630_c0_seq1	Typhaang_comp48630_c0_seq5
772	0.0039	0.0179	0.2161	Typhaang_comp48630_c0_seq2	Typhaang_comp48630_c0_seq5
773	0.0600	0.6498	0.0923	Typhaang_comp48632_c0_seq1	Typhaang_comp48632_c0_seq2
774	0.0026	0.0000	99.0000	Typhaang_comp48643_c1_seq1	Typhaang_comp48643_c1_seq2
775	0.0043	0.0000	99.0000	Typhaang_comp48643_c1_seq1	Typhaang_comp48643_c1_seq4
776	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq11	Typhaang_comp48645_c0_seq7
777	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq11	Typhaang_comp48645_c0_seq5
778	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq11	Typhaang_comp48645_c0_seq2
779	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq11	Typhaang_comp48645_c0_seq14
780	0.0000	0.0000	0.4019	Typhaang_comp48645_c0_seq14	Typhaang_comp48645_c0_seq9
781	0.0000	0.0000	0.4019	Typhaang_comp48645_c0_seq14	Typhaang_comp48645_c0_seq15
782	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq14	Typhaang_comp48645_c0_seq4
783	0.0000	0.0000	0.4019	Typhaang_comp48645_c0_seq15	Typhaang_comp48645_c0_seq5
784	0.0000	0.0000	0.0861	Typhaang_comp48645_c0_seq15	Typhaang_comp48645_c0_seq7
785	0.0000	0.0000	0.0861	Typhaang_comp48645_c0_seq15	Typhaang_comp48645_c0_seq2
786	0.0000	0.0000	0.0861	Typhaang_comp48645_c0_seq2	Typhaang_comp48645_c0_seq9
787	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq2	Typhaang_comp48645_c0_seq4
788	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq4	Typhaang_comp48645_c0_seq7
789	0.0015	0.0000	99.0000	Typhaang_comp48645_c0_seq4	Typhaang_comp48645_c0_seq5
790	0.0000	0.0000	0.4019	Typhaang_comp48645_c0_seq5	Typhaang_comp48645_c0_seq9
791	0.0000	0.0000	0.0861	Typhaang_comp48645_c0_seq7	Typhaang_comp48645_c0_seq9
792	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq1	Typhaang_comp48651_c0_seq7
793	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq1	Typhaang_comp48651_c0_seq16
794	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq1	Typhaang_comp48651_c0_seq14
795	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq1	Typhaang_comp48651_c0_seq11
796	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq11	Typhaang_comp48651_c0_seq8
797	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq11	Typhaang_comp48651_c0_seq15
798	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq11	Typhaang_comp48651_c0_seq3
799	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq14	Typhaang_comp48651_c0_seq8
800	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq14	Typhaang_comp48651_c0_seq15
801	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq14	Typhaang_comp48651_c0_seq3
802	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq15	Typhaang_comp48651_c0_seq7
803	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq15	Typhaang_comp48651_c0_seq16
804	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq16	Typhaang_comp48651_c0_seq8
805	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq16	Typhaang_comp48651_c0_seq3
806	0.0000	0.0000	0.0010	Typhaang_comp48651_c0_seq3	Typhaang_comp48651_c0_seq7
807	0.0000	0.0000	0.4019	Typhaang_comp48651_c0_seq7	Typhaang_comp48651_c0_seq8
808	0.0000	0.0000	0.0010	Typhaang_comp48652_c0_seq1	Typhaang_comp48652_c0_seq2
809	0.0024	0.0000	99.0000	Typhaang_comp48652_c0_seq1	Typhaang_comp48652_c0_seq4
810	0.0024	0.0000	99.0000	Typhaang_comp48652_c0_seq2	Typhaang_comp48652_c0_seq3
811	0.0000	0.0000	0.0010	Typhaang_comp48652_c0_seq3	Typhaang_comp48652_c0_seq4
812	0.0000	0.0000	0.0010	Typhaang_comp48654_c0_seq1	Typhaang_comp48654_c0_seq2
813	0.0000	0.0000	0.0010	Typhaang_comp48654_c0_seq1	Typhaang_comp48654_c0_seq4
814	0.0000	0.0000	0.0010	Typhaang_comp48654_c0_seq2	Typhaang_comp48654_c0_seq3
815	0.0000	0.0000	0.0010	Typhaang_comp48654_c0_seq3	Typhaang_comp48654_c0_seq4
816	0.1317	5.6024	0.0235	Typhaang_comp48657_c0_seq1	Typhaang_comp48657_c0_seq2
817	0.0000	0.0000	0.4018	Typhaang_comp48679_c1_seq1	Typhaang_comp48679_c1_seq2
818	0.0000	0.0000	0.0010	Typhaang_comp48679_c1_seq1	Typhaang_comp48679_c1_seq4
819	0.0000	0.0000	0.0010	Typhaang_comp48679_c1_seq2	Typhaang_comp48679_c1_seq3
820	0.0000	0.0000	0.0010	Typhaang_comp48679_c1_seq3	Typhaang_comp48679_c1_seq4
821	0.0981	0.5688	0.1725	Typhaang_comp48691_c0_seq1	Typhaang_comp48691_c0_seq3
822	0.0962	0.8260	0.1164	Typhaang_comp48691_c0_seq1	Typhaang_comp48691_c0_seq4
823	0.0962	0.8260	0.1164	Typhaang_comp48691_c0_seq1	Typhaang_comp48691_c0_seq2
824	0.0656	0.3942	0.1664	Typhaang_comp48691_c0_seq2	Typhaang_comp48691_c0_seq3
825	0.0656	0.3942	0.1664	Typhaang_comp48691_c0_seq3	Typhaang_comp48691_c0_seq4
826	0.0288	0.7182	0.0401	Typhaang_comp48695_c1_seq1	Typhaang_comp48695_c1_seq2
827	0.0000	0.0000	0.3984	Typhaang_comp48709_c0_seq1	Typhaang_comp48709_c0_seq2
828	0.0000	0.0000	0.3999	Typhaang_comp48712_c0_seq1	Typhaang_comp48712_c0_seq2
829	0.0000	0.0000	0.4019	Typhaang_comp48714_c0_seq1	Typhaang_comp48714_c0_seq2
830	0.0665	0.7352	0.0904	Typhaang_comp48718_c0_seq1	Typhaang_comp48718_c0_seq2
831	0.0174	0.0360	0.4843	Typhaang_comp48719_c0_seq11	Typhaang_comp48719_c0_seq6
832	0.0174	0.0360	0.4843	Typhaang_comp48719_c0_seq11	Typhaang_comp48719_c0_seq5
833	0.0174	0.0360	0.4843	Typhaang_comp48719_c0_seq11	Typhaang_comp48719_c0_seq4
834	0.0174	0.0360	0.4843	Typhaang_comp48719_c0_seq11	Typhaang_comp48719_c0_seq3
835	0.0174	0.0360	0.4843	Typhaang_comp48719_c0_seq11	Typhaang_comp48719_c0_seq2
836	0.0000	0.0000	0.4019	Typhaang_comp48724_c0_seq1	Typhaang_comp48724_c0_seq2
837	0.1157	0.6685	0.1731	Typhaang_comp48724_c0_seq1	Typhaang_comp48724_c0_seq4
838	0.1195	0.6397	0.1868	Typhaang_comp48724_c0_seq2	Typhaang_comp48724_c0_seq4
839	0.0737	0.4116	0.1791	Typhaang_comp48724_c0_seq3	Typhaang_comp48724_c0_seq6
840	0.0673	0.4035	0.1668	Typhaang_comp48724_c0_seq3	Typhaang_comp48724_c0_seq7
841	0.0000	0.0000	0.4022	Typhaang_comp48727_c0_seq1	Typhaang_comp48727_c0_seq2
842	0.0262	0.2739	0.0956	Typhaang_comp48736_c0_seq1	Typhaang_comp48736_c0_seq2
843	0.0439	0.4243	0.1035	Typhaang_comp48736_c0_seq1	Typhaang_comp48736_c0_seq3
844	0.0439	0.2756	0.1592	Typhaang_comp48736_c0_seq2	Typhaang_comp48736_c0_seq3
845	0.0583	0.5524	0.1055	Typhaang_comp48736_c0_seq3	Typhaang_comp48736_c0_seq4
846	0.0036	0.0119	0.3012	Typhaang_comp48744_c0_seq1	Typhaang_comp48744_c0_seq2
847	0.0064	0.0001	99.0000	Typhaang_comp48751_c0_seq1	Typhaang_comp48751_c0_seq3
848	0.0720	0.2062	0.3495	Typhaang_comp48751_c0_seq1	Typhaang_comp48751_c0_seq6
849	0.0720	0.2062	0.3495	Typhaang_comp48751_c0_seq1	Typhaang_comp48751_c0_seq5
850	0.0758	0.1992	0.3807	Typhaang_comp48751_c0_seq1	Typhaang_comp48751_c0_seq4
851	0.0796	0.2007	0.3966	Typhaang_comp48751_c0_seq3	Typhaang_comp48751_c0_seq6
852	0.0796	0.2007	0.3966	Typhaang_comp48751_c0_seq3	Typhaang_comp48751_c0_seq5
853	0.0758	0.1987	0.3816	Typhaang_comp48751_c0_seq3	Typhaang_comp48751_c0_seq4
854	0.0291	0.0759	0.3832	Typhaang_comp48756_c0_seq1	Typhaang_comp48756_c0_seq3
855	0.0291	0.0759	0.3832	Typhaang_comp48756_c0_seq2	Typhaang_comp48756_c0_seq3
856	0.1704	0.6964	0.2447	Typhaang_comp48757_c1_seq1	Typhaang_comp48757_c1_seq2
857	0.0229	0.8827	0.0260	Typhaang_comp48761_c0_seq1	Typhaang_comp48761_c0_seq2
858	0.0452	1.2642	0.0358	Typhaang_comp48761_c0_seq2	Typhaang_comp48761_c0_seq4
859	0.1685	0.6037	0.2791	Typhaang_comp48788_c0_seq1	Typhaang_comp48788_c0_seq2
860	0.1013	0.1446	0.7008	Typhaang_comp48794_c1_seq1	Typhaang_comp48794_c1_seq2
861	0.0000	0.0000	0.4019	Typhaang_comp48798_c0_seq1	Typhaang_comp48798_c0_seq2
862	0.0000	0.0000	0.0010	Typhaang_comp48798_c0_seq1	Typhaang_comp48798_c0_seq3
863	0.0104	0.0091	1.1418	Typhaang_comp48798_c0_seq2	Typhaang_comp48798_c0_seq3
864	0.0020	0.5408	0.0037	Typhaang_comp48804_c1_seq1	Typhaang_comp48804_c1_seq3
865	0.0059	0.1074	0.0553	Typhaang_comp48804_c1_seq1	Typhaang_comp48804_c1_seq4
866	0.0045	0.5117	0.0087	Typhaang_comp48804_c1_seq3	Typhaang_comp48804_c1_seq4
867	0.0102	0.0238	0.4281	Typhaang_comp48819_c0_seq1	Typhaang_comp48819_c0_seq4
868	0.0102	0.0238	0.4281	Typhaang_comp48819_c0_seq1	Typhaang_comp48819_c0_seq2
869	0.0102	0.0238	0.4281	Typhaang_comp48819_c0_seq2	Typhaang_comp48819_c0_seq3
870	0.0102	0.0238	0.4281	Typhaang_comp48819_c0_seq3	Typhaang_comp48819_c0_seq4
871	0.0000	0.0000	0.4018	Typhaang_comp48823_c1_seq1	Typhaang_comp48823_c1_seq4
872	0.0000	0.0000	0.4018	Typhaang_comp48823_c1_seq2	Typhaang_comp48823_c1_seq4
873	0.0284	0.3302	0.0860	Typhaang_comp48828_c0_seq1	Typhaang_comp48828_c0_seq2
874	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq1	Typhaang_comp48835_c0_seq3
875	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq1	Typhaang_comp48835_c0_seq5
876	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq2	Typhaang_comp48835_c0_seq5
877	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq2	Typhaang_comp48835_c0_seq3
878	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq3	Typhaang_comp48835_c0_seq4
879	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq3	Typhaang_comp48835_c0_seq6
880	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq4	Typhaang_comp48835_c0_seq5
881	0.0000	0.0000	0.4018	Typhaang_comp48835_c0_seq5	Typhaang_comp48835_c0_seq6
882	0.0258	0.5923	0.0436	Typhaang_comp48836_c0_seq1	Typhaang_comp48836_c0_seq2
883	0.0574	0.4156	0.1380	Typhaang_comp48839_c1_seq1	Typhaang_comp48839_c1_seq2
884	0.0905	0.3555	0.2546	Typhaang_comp48840_c0_seq1	Typhaang_comp48840_c0_seq2
885	0.0090	0.4243	0.0213	Typhaang_comp48858_c0_seq1	Typhaang_comp48858_c0_seq2
886	0.1701	2.5803	0.0659	Typhaang_comp48862_c1_seq1	Typhaang_comp48862_c1_seq2
887	0.0610	0.3686	0.1654	Typhaang_comp48870_c0_seq1	Typhaang_comp48870_c0_seq2
888	0.1696	1.6523	0.1027	Typhaang_comp48872_c0_seq1	Typhaang_comp48872_c0_seq4
889	0.1696	1.6523	0.1027	Typhaang_comp48872_c0_seq1	Typhaang_comp48872_c0_seq2
890	0.1696	1.6523	0.1027	Typhaang_comp48872_c0_seq2	Typhaang_comp48872_c0_seq3
891	0.1696	1.6523	0.1027	Typhaang_comp48872_c0_seq3	Typhaang_comp48872_c0_seq4
892	0.0000	0.0229	0.0010	Typhaang_comp48884_c0_seq1	Typhaang_comp48884_c0_seq3
893	0.0548	1.1928	0.0459	Typhaang_comp48884_c0_seq1	Typhaang_comp48884_c0_seq2
894	0.0514	1.2336	0.0417	Typhaang_comp48884_c0_seq2	Typhaang_comp48884_c0_seq3
895	0.0060	0.4366	0.0138	Typhaang_comp48885_c0_seq1	Typhaang_comp48885_c0_seq2
896	0.0257	1.9125	0.0134	Typhaang_comp48885_c0_seq2	Typhaang_comp48885_c0_seq3
897	0.0333	1.6821	0.0198	Typhaang_comp48885_c0_seq2	Typhaang_comp48885_c0_seq4
898	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq11	Typhaang_comp48889_c0_seq8
899	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq11	Typhaang_comp48889_c0_seq16
900	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq11	Typhaang_comp48889_c0_seq19
901	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq15	Typhaang_comp48889_c0_seq8
902	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq15	Typhaang_comp48889_c0_seq16
903	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq15	Typhaang_comp48889_c0_seq19
904	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq16	Typhaang_comp48889_c0_seq7
905	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq16	Typhaang_comp48889_c0_seq3
906	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq16	Typhaang_comp48889_c0_seq19
907	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq17	Typhaang_comp48889_c0_seq19
908	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq18	Typhaang_comp48889_c0_seq19
909	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq19	Typhaang_comp48889_c0_seq8
910	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq19	Typhaang_comp48889_c0_seq7
911	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq19	Typhaang_comp48889_c0_seq20
912	0.0081	0.0257	0.3150	Typhaang_comp48889_c0_seq19	Typhaang_comp48889_c0_seq3
913	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq3	Typhaang_comp48889_c0_seq8
914	0.0019	0.0000	99.0000	Typhaang_comp48889_c0_seq7	Typhaang_comp48889_c0_seq8
915	0.0140	0.1770	0.0793	Typhaang_comp48892_c0_seq1	Typhaang_comp48892_c0_seq3
916	0.0126	0.6695	0.0188	Typhaang_comp48894_c0_seq1	Typhaang_comp48894_c0_seq2
917	0.0000	0.0035	0.0010	Typhaang_comp48902_c0_seq1	Typhaang_comp48902_c0_seq3
918	0.0106	0.0222	0.4772	Typhaang_comp48908_c1_seq1	Typhaang_comp48908_c1_seq4
919	0.0000	0.0000	0.4020	Typhaang_comp48908_c1_seq3	Typhaang_comp48908_c1_seq4
920	0.0748	0.5180	0.1444	Typhaang_comp48913_c1_seq2	Typhaang_comp48913_c1_seq4
921	0.0957	0.7884	0.1214	Typhaang_comp48913_c1_seq3	Typhaang_comp48913_c1_seq4
922	0.1061	1.3070	0.0812	Typhaang_comp48913_c1_seq5	Typhaang_comp48913_c1_seq6
923	0.1362	1.3679	0.0996	Typhaang_comp48913_c1_seq5	Typhaang_comp48913_c1_seq7
924	0.0174	2.4161	0.0072	Typhaang_comp48914_c1_seq1	Typhaang_comp48914_c1_seq4
925	0.0174	2.4161	0.0072	Typhaang_comp48914_c1_seq2	Typhaang_comp48914_c1_seq4
926	0.0174	2.4161	0.0072	Typhaang_comp48914_c1_seq3	Typhaang_comp48914_c1_seq4
927	0.0016	0.0050	0.3158	Typhaang_comp48921_c1_seq1	Typhaang_comp48921_c1_seq2
928	0.0479	0.6095	0.0785	Typhaang_comp48925_c0_seq2	Typhaang_comp48925_c0_seq3
929	0.0571	0.1806	0.3160	Typhaang_comp48931_c0_seq1	Typhaang_comp48931_c0_seq2
930	0.0000	0.0000	0.3834	Typhaang_comp48932_c2_seq1	Typhaang_comp48932_c2_seq2
931	0.0000	0.0182	0.0010	Typhaang_comp48932_c2_seq1	Typhaang_comp48932_c2_seq4
932	0.0000	0.0182	0.0010	Typhaang_comp48932_c2_seq2	Typhaang_comp48932_c2_seq4
933	0.0000	0.0182	0.0010	Typhaang_comp48932_c2_seq3	Typhaang_comp48932_c2_seq4
934	0.0024	0.0000	99.0000	Typhaang_comp48942_c0_seq3	Typhaang_comp48942_c0_seq4
935	0.0098	0.0001	99.0000	Typhaang_comp48942_c0_seq3	Typhaang_comp48942_c0_seq9
936	0.0098	0.0001	99.0000	Typhaang_comp48942_c0_seq3	Typhaang_comp48942_c0_seq7
937	0.0098	0.0001	99.0000	Typhaang_comp48942_c0_seq4	Typhaang_comp48942_c0_seq8
938	0.0024	0.0000	99.0000	Typhaang_comp48942_c0_seq7	Typhaang_comp48942_c0_seq8
939	0.0024	0.0000	99.0000	Typhaang_comp48942_c0_seq8	Typhaang_comp48942_c0_seq9
940	0.0485	0.7031	0.0690	Typhaang_comp48948_c1_seq1	Typhaang_comp48948_c1_seq2
941	0.0440	0.7484	0.0587	Typhaang_comp48948_c1_seq1	Typhaang_comp48948_c1_seq4
942	0.1815	0.8880	0.2044	Typhaang_comp48948_c1_seq1	Typhaang_comp48948_c1_seq6
943	0.0354	0.7443	0.0476	Typhaang_comp48948_c1_seq2	Typhaang_comp48948_c1_seq5
944	0.0354	0.7443	0.0476	Typhaang_comp48948_c1_seq4	Typhaang_comp48948_c1_seq5
945	0.0184	0.0224	0.8243	Typhaang_comp48950_c0_seq1	Typhaang_comp48950_c0_seq3
946	0.0217	0.0260	0.8328	Typhaang_comp48950_c0_seq2	Typhaang_comp48950_c0_seq3
947	0.0000	0.0000	0.0010	Typhaang_comp48950_c0_seq3	Typhaang_comp48950_c0_seq4
948	0.0591	0.1839	0.3216	Typhaang_comp48951_c2_seq1	Typhaang_comp48951_c2_seq2
949	0.1477	0.2618	0.5640	Typhaang_comp48951_c2_seq2	Typhaang_comp48951_c2_seq3
950	0.0199	0.2482	0.0801	Typhaang_comp48953_c3_seq1	Typhaang_comp48953_c3_seq2
951	0.0251	2.0897	0.0120	Typhaang_comp48960_c0_seq1	Typhaang_comp48960_c0_seq2
952	0.1093	0.2770	0.3945	Typhaang_comp48965_c0_seq1	Typhaang_comp48965_c0_seq2
953	0.0114	0.6495	0.0175	Typhaang_comp48971_c0_seq1	Typhaang_comp48971_c0_seq2
954	0.0009	0.0059	0.1447	Typhaang_comp48984_c0_seq1	Typhaang_comp48984_c0_seq2
955	0.0793	1.2165	0.0652	Typhaang_comp48984_c0_seq1	Typhaang_comp48984_c0_seq4
956	0.0009	0.0059	0.1447	Typhaang_comp48984_c0_seq2	Typhaang_comp48984_c0_seq3
957	0.0804	1.2301	0.0653	Typhaang_comp48984_c0_seq2	Typhaang_comp48984_c0_seq4
958	0.0793	1.2165	0.0652	Typhaang_comp48984_c0_seq3	Typhaang_comp48984_c0_seq4
959	0.0796	1.1261	0.0707	Typhaang_comp48984_c0_seq4	Typhaang_comp48984_c0_seq5
960	0.0000	0.0000	0.4057	Typhaang_comp48993_c1_seq1	Typhaang_comp48993_c1_seq2
961	0.0000	0.0000	0.4019	Typhaang_comp49009_c0_seq1	Typhaang_comp49009_c0_seq2
